iter	Passed	Remaining
409	4066	5851
410	4076	5842
411	4085	5831
412	4095	5821
413	4104	5810
414	4114	5799
415	4123	5788
416	4132	5777
417	4140	5765
418	4150	5754
419	4158	5742
420	4167	5731
421	4176	5720
422	4184	5708
423	4193	5696
424	4202	5686
425	4212	5675
426	4221	5665
427	4230	5654
428	4240	5643
429	4250	5633
430	4259	5623
431	4269	5612
432	4278	5602
433	4287	5591
434	4297	5581
435	4306	5570
436	4316	5560
437	4324	5549
438	4334	5538
439	4343	5527
440	4352	5516
441	4361	5506
442	4371	5496
443	4381	5486
444	4389	5474
445	4398	5463
446	4407	5452
447	4416	5441
448	4425	5430
449	4434	5419
450	4443	5408
451	4452	5398
452	4461	5387
453	4470	5376
454	4479	5366
455	4488	5355
456	4498	5344
457	4506	5333
458	4516	5323
459	4525	5312
460	4534	5302
461	4544	5291
462	4553	5280
463	4561	5269
464	4570	5258
465	4579	5248
466	4588	5237
467	4597	5226
468	4606	5215
469	4615	5204
470	4623	5193
471	4633	5183
472	4642	5172
473	4651	5161
474	4659	5150
475	4668	5139
476	4677	5128
477	4686	5117
478	4695	5106
479	4704	5096
480	4713	5085
481	4721	5074
482	4731	5064
483	4742	5055
484	4752	5046
485	4762	5037
486	4773	5028
487	4783	5019
488	4793	5008
489	4803	4999
490	4812	4989
491	4823	4980
492	4832	4969
493	4842	4960
494	4851	4949
495	4861	4940
496	4870	4929
497	4881	4920
498	4890	4909
499	4900	4900
500	4910	4890
501	4920	4881
502	4930	4871
503	4939	4861
504	4948	4850
505	4958	4840
506	4967	4830
507	4976	4819
508	4985	4809
509	4994	4798
510	5003	4788
511	5012	4777
512	5021	4766
513	5030	4756
514	5039	4745
515	5048	4735
516	5056	4723
517	5065	4713
518	5074	4702
519	5083	4692
520	5091	4681
521	5100	4670
522	5109	4659
523	5118	4649
524	5127	4639
525	5138	4630
526	5148	4620
527	5157	4610
528	5168	4601
529	5177	4591
530	5187	4582
531	5197	4571
532	5205	4561
533	5217	4552
534	5225	4542
535	5234	4531
536	5244	4522
537	5254	4511
538	5264	4502
539	5273	4492
540	5284	4483
541	5293	4473
542	5302	4462
543	5312	4453
544	5322	4443
545	5332	4433
546	5340	4423
547	5349	4412
548	5358	4401
549	5367	4391
550	5376	4381
551	5385	4370
552	5394	4360
553	5403	4349
554	5412	4339
555	5420	4328
556	5429	4318
557	5438	4307
558	5448	4298
559	5457	4287
560	5466	4277
561	5475	4267
562	5484	4257
563	5493	4246
564	5502	4236
565	5511	4225
566	5519	4215
567	5528	4205
568	5538	4195
569	5547	4184
570	5556	4174
571	5565	4164
572	5574	4153
573	5583	4143
574	5592	4133
575	5601	4123
576	5610	4112
577	5619	4102
578	5628	4092
579	5637	4082
580	5646	4071
581	5655	4061
582	5664	4051
583	5673	4041
584	5682	4031
585	5691	4020
586	5701	4011
587	5712	4002
588	5721	3992
589	5730	3982
590	5739	3972
591	5749	3962
592	5758	3952
593	5767	3942
594	5776	3931
595	5785	3921
596	5794	3911
597	5803	3901
598	5812	3891
599	5821	3880
600	5830	3870
601	5838	3860
602	5848	3850
603	5857	3840
604	5867	3830
605	5875	3820
606	5885	3810
607	5893	3799
608	5902	3789
609	5910	3779
610	5920	3769
611	5929	3759
612	5938	3749
613	5946	3738
614	5956	3728
615	5964	3718
616	5973	3708
617	5982	3697
618	5991	3687
619	6000	3677
620	6009	3667
621	6019	3657
622	6027	3647
623	6036	3637
624	6045	3627
625	6056	3618
626	6065	3608
627	6075	3598
628	6085	3589
629	6094	3579
630	6103	3569
631	6113	3559
632	6122	3549
633	6132	3540
634	6142	3530
635	6153	3521
636	6163	3512
637	6173	3502
638	6184	3493
639	6195	3484
640	6205	3475
641	6215	3465
642	6224	3456
643	6235	3446
644	6244	3437
645	6255	3427
646	6265	3418
647	6274	3408
648	6283	3398
649	6292	3388
650	6302	3378
651	6311	3368
652	6320	3358
653	6329	3348
654	6338	3338
655	6347	3328
656	6357	3318
657	6368	3309
658	6378	3300
659	6389	3291
660	6400	3282
661	6414	3275
662	6424	3265
663	6439	3258
664	6451	3249
665	6463	3241
666	6474	3232
667	6485	3223
668	6496	3214
669	6506	3204
670	6518	3195
671	6529	3187
672	6541	3178
673	6552	3169
674	6565	3161
675	6575	3151
676	6585	3142
677	6596	3132
678	6605	3123
679	6615	3113
680	6625	3103
681	6635	3093
682	6646	3084
683	6655	3074
684	6665	3065
685	6675	3055
686	6684	3045
687	6694	3035
688	6704	3026
689	6714	3016
690	6723	3006
691	6733	2996
692	6742	2986
693	6753	2977
694	6761	2967
695	6770	2957
696	6779	2947
697	6788	2937
698	6797	2926
699	6805	2916
700	6814	2906
701	6824	2896
702	6834	2887
703	6844	2877
704	6854	2868
705	6864	2858
706	6874	2849
707	6884	2839
708	6894	2829
709	6903	2819
710	6913	2809
711	6922	2800
712	6931	2790
713	6940	2780
714	6949	2770
715	6958	2760
716	6967	2750
717	6976	2740
718	6985	2729
719	6994	2720
720	7003	2709
721	7012	2700
722	7021	2690
723	7030	2680
724	7039	2670
725	7049	2660
726	7058	2650
727	7067	2640
728	7076	2630
729	7085	2620
730	7094	2610
731	7103	2600
732	7113	2590
733	7122	2581
734	7131	2571
735	7140	2561
736	7148	2550
