iter	Logloss
0	0.6522378067
1	0.614618556
2	0.5861652024
3	0.5635231277
4	0.5427618012
5	0.524959745
6	0.5045147122
7	0.4926458266
8	0.4768073038
9	0.4670461033
10	0.4583378681
11	0.446815828
12	0.4401116931
13	0.4337018406
14	0.4267372411
15	0.4190434197
16	0.4107301347
17	0.4016608074
18	0.3973590718
19	0.3930133003
20	0.3878916665
21	0.3860168706
22	0.3829845063
23	0.3774890758
24	0.372526531
25	0.3659213932
26	0.3628962163
27	0.3612555889
28	0.357338035
29	0.355375292
30	0.3524409723
31	0.3504754682
32	0.3477049302
33	0.345511385
34	0.343532
35	0.3418640522
36	0.3406974574
37	0.3391537127
38	0.3372751236
39	0.3361831367
40	0.3350343539
41	0.3339523777
42	0.3332423658
43	0.3323167885
44	0.3317320007
45	0.3303378896
46	0.3260996119
47	0.3252448482
48	0.3223258141
49	0.3210750654
50	0.3200911042
51	0.3183046513
52	0.3161073788
53	0.3154399593
54	0.3140001103
55	0.3135568023
56	0.3128919569
57	0.3118074885
58	0.3113715032
59	0.3108751176
60	0.3101824197
61	0.3096085952
62	0.3089520071
63	0.30857624
64	0.3080935181
65	0.3070011254
66	0.3057749707
67	0.3051914468
68	0.3047888727
69	0.3038984516
70	0.3035930688
71	0.3031850655
72	0.302619866
73	0.3014330477
74	0.3011035289
75	0.300679295
76	0.3003968884
77	0.3000592119
78	0.2996386824
79	0.2987051266
80	0.2979775709
81	0.297450169
82	0.2971079035
83	0.2968991512
84	0.2964262225
85	0.2959319286
86	0.295488658
87	0.2950108247
88	0.2947567508
89	0.2943138551
90	0.2937739955
91	0.2933079594
92	0.2930613992
93	0.2917177456
94	0.2910383048
95	0.2906328613
96	0.2903868049
97	0.2897242175
98	0.2891638492
99	0.2884115738
100	0.2880631333
101	0.287543055
102	0.2871137481
103	0.2862312258
104	0.2860474959
105	0.2856360511
106	0.2848804143
107	0.2845597352
108	0.2842659454
109	0.2838460857
110	0.2832408928
111	0.2830500261
112	0.2827190496
113	0.2814898301
114	0.2812866298
115	0.2808319033
116	0.2802366266
117	0.2800664339
118	0.279756955
119	0.279481459
120	0.2789567261
121	0.2785920759
122	0.2784952139
123	0.2783018
124	0.2779678406
125	0.2772005408
126	0.2768416414
127	0.2766088599
128	0.2763643406
129	0.2760881789
130	0.2757138151
131	0.2753870182
132	0.2748733975
133	0.2745638376
134	0.2742269639
135	0.2740710577
136	0.2737431394
137	0.2733139982
138	0.2728053999
139	0.2725975175
140	0.272401271
141	0.2719313255
142	0.2717618825
143	0.2712809335
144	0.2709938843
145	0.2707329194
146	0.2705396112
147	0.2698384406
148	0.2695031429
149	0.2690654747
150	0.2689254034
151	0.2687391187
152	0.2685323619
153	0.2683139295
154	0.2681255955
155	0.2678160914
156	0.2674289828
157	0.267280381
158	0.2666399242
159	0.2664636241
160	0.266077783
161	0.2658180252
162	0.2654107701
163	0.2652729554
164	0.2651686915
165	0.2650859794
166	0.2648357958
167	0.2642423737
168	0.2639018179
169	0.2630959377
170	0.2626067279
171	0.2622911991
172	0.2621664644
173	0.2618454519
174	0.2614844748
